Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant Rock Type,Tectonic Setting
263340,Raung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2015 CE,-8.119,114.056,3260,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263350,Ijen,Indonesia,Indonesia,Stratovolcano(es),Eruption Observed,1999 CE,-8.058,114.242,2769,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263351,Baluran,Indonesia,Indonesia,Stratovolcano,Evidence Uncertain,Unknown,-7.85,114.37,1247,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
263805,"Kamojang, Kawah",Indonesia,Indonesia,Stratovolcano(es),Unrest / Pleistocene,Unknown,-7.125,107.8,1730,Unknown,Subduction Zone / Continental Crust (>25 km)
264001,Buyan-Bratan,Indonesia,Indonesia,Caldera,Evidence Credible,Unknown,-8.283,115.133,2244,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264010,Batur,Indonesia,Indonesia,Caldera,Eruption Observed,2000 CE,-8.242,115.375,1717,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264020,Agung,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1964 CE,-8.342,115.508,3142,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264030,Rinjani,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2016 CE,-8.42,116.47,3726,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264040,Tambora,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1967 CE,-8.25,118.0,2850,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
264050,Sangeang Api,Indonesia,Indonesia,Complex,Eruption Observed,2015 CE,-8.2,119.07,1949,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
264060,"Sano, Wai",Indonesia,Indonesia,Caldera,Evidence Credible,Unknown,-8.72,120.02,903,Dacite,Subduction Zone / Continental Crust (>25 km)
264070,Poco Leok,Indonesia,Indonesia,Stratovolcano,Unrest / Holocene,Unknown,-8.68,120.48,1675,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264071,Ranakah,Indonesia,Indonesia,Lava dome(s),Eruption Observed,1991 CE,-8.62,120.52,2350,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
264080,Inierie,Indonesia,Indonesia,Stratovolcano,Eruption Dated,8050 BCE,-8.875,120.95,2245,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264090,Inielika,Indonesia,Indonesia,Complex,Eruption Observed,2001 CE,-8.73,120.98,1559,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264100,Ebulobo,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1969 CE,-8.82,121.18,2124,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264110,Iya,Indonesia,Indonesia,Stratovolcano,Eruption Observed,1969 CE,-8.897,121.645,637,Basalt / Picro-Basalt,Subduction Zone / Crust Thickness Unknown
264120,Sukaria Caldera,Indonesia,Indonesia,Caldera,Unrest / Holocene,Unknown,-8.792,121.77,1500,No Data,Subduction Zone / Crust Thickness Unknown
264140,Kelimutu,Indonesia,Indonesia,Complex,Eruption Observed,1968 CE,-8.77,121.82,1639,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
264150,Paluweh,Indonesia,Indonesia,Stratovolcano,Eruption Observed,2014 CE,-8.32,121.708,875,Andesite / Basaltic Andesite,Subduction Zone / Crust Thickness Unknown
